experiment,judge,aspect,persona_a,persona_b,wilcoxon_stat,p_value,p_holm,sig_holm
mexgen_stroke,gemini-3.1-pro,helpfulness,patient,patient_elaborate,0.0,0.0312,0.2496,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor,doctor_elaborate,0.0,0.0013,0.0117,True
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor,expert_judge,0.0,0.0833,0.2499,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor,patient,0.0,0.1573,0.3146,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor,patient_elaborate,4.5,0.0339,0.1695,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor_elaborate,expert_judge,0.0,0.0027,0.0216,True
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor_elaborate,patient,0.0,0.0005,0.005,True
tokenshap_stroke,claude-sonnet-4.6,helpfulness,doctor_elaborate,patient_elaborate,4.5,0.0339,0.1695,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,expert_judge,patient,0.0,0.0253,0.1518,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,expert_judge,patient_elaborate,15.0,0.3173,0.3173,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,patient,patient_elaborate,0.0,0.0047,0.0329,True
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor,doctor_elaborate,0.0,0.0082,0.0656,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor,expert_judge,0.0,0.3173,0.9519,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor,patient,0.0,0.1573,0.6292,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor,patient_elaborate,2.5,0.3173,0.9519,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor_elaborate,expert_judge,0.0,0.0143,0.1001,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor_elaborate,patient,0.0,0.0027,0.027,True
tokenshap_stroke,claude-sonnet-4.6,plausibility,doctor_elaborate,patient_elaborate,0.0,0.0027,0.027,True
tokenshap_stroke,claude-sonnet-4.6,plausibility,expert_judge,patient,0.0,0.0833,0.4998,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,expert_judge,patient_elaborate,0.0,0.0833,0.4998,False
tokenshap_stroke,claude-sonnet-4.6,plausibility,patient,patient_elaborate,5.0,1.0,1.0,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor,doctor_elaborate,0.0,0.0016,0.0128,True
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor,expert_judge,0.0,0.0833,0.3332,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor,patient,0.0,0.1573,0.4719,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor,patient_elaborate,0.0,0.0143,0.0715,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor_elaborate,expert_judge,0.0,0.0003,0.003,True
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor_elaborate,patient,0.0,0.0005,0.0045,True
tokenshap_stroke,gemini-3.1-pro,helpfulness,doctor_elaborate,patient_elaborate,9.0,0.1573,0.4719,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,expert_judge,patient,0.0,0.3173,0.4719,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,expert_judge,patient_elaborate,0.0,0.0027,0.0189,True
tokenshap_stroke,gemini-3.1-pro,helpfulness,patient,patient_elaborate,0.0,0.0047,0.0282,True
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor,doctor_elaborate,5.5,0.0114,0.0684,False
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor,expert_judge,0.0,0.1573,0.6292,False
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor,patient,2.0,0.5637,1.0,False
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor,patient_elaborate,0.0,0.0082,0.0574,False
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor_elaborate,expert_judge,0.0,0.0016,0.016,True
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor_elaborate,patient,6.0,0.0067,0.0536,False
tokenshap_stroke,gemini-3.1-pro,plausibility,doctor_elaborate,patient_elaborate,12.0,0.7055,1.0,False
tokenshap_stroke,gemini-3.1-pro,plausibility,expert_judge,patient,2.0,0.5637,1.0,False
tokenshap_stroke,gemini-3.1-pro,plausibility,expert_judge,patient_elaborate,0.0,0.0027,0.0243,True
tokenshap_stroke,gemini-3.1-pro,plausibility,patient,patient_elaborate,5.5,0.0114,0.0684,False
tokenshap_stroke,gpt-5.4,helpfulness,doctor,doctor_elaborate,0.0,0.0016,0.016,True
tokenshap_stroke,gpt-5.4,helpfulness,doctor,expert_judge,2.5,0.3173,0.7704,False
tokenshap_stroke,gpt-5.4,helpfulness,doctor,patient,2.0,0.5637,0.7704,False
tokenshap_stroke,gpt-5.4,helpfulness,doctor,patient_elaborate,0.0,0.0253,0.1771,False
tokenshap_stroke,gpt-5.4,helpfulness,doctor_elaborate,expert_judge,0.0,0.0047,0.0376,True
tokenshap_stroke,gpt-5.4,helpfulness,doctor_elaborate,patient,7.0,0.0023,0.0207,True
tokenshap_stroke,gpt-5.4,helpfulness,doctor_elaborate,patient_elaborate,10.0,0.0956,0.478,False
tokenshap_stroke,gpt-5.4,helpfulness,expert_judge,patient,3.0,0.1797,0.7188,False
tokenshap_stroke,gpt-5.4,helpfulness,expert_judge,patient_elaborate,2.0,0.2568,0.7704,False
tokenshap_stroke,gpt-5.4,helpfulness,patient,patient_elaborate,0.0,0.0339,0.2034,False
